#mdr	 bond	 viscos_rat	 regime
10.000000	 0.001000	 0.001000	 film
10.000000	 0.001000	 0.010000	 film
10.000000	 0.001000	 0.100000	 film
10.000000	 0.001000	 1.000000	 film
10.000000	 0.001000	 10.000000	 film
10.000000	 0.001000	 100.000000	 film
10.000000	 0.001000	 1000.000000	 film
10.000000	 0.010000	 0.001000	 film
10.000000	 0.010000	 0.010000	 film
10.000000	 0.010000	 0.100000	 film
10.000000	 0.010000	 1.000000	 film
10.000000	 0.010000	 10.000000	 film
10.000000	 0.010000	 100.000000	 film
10.000000	 0.010000	 1000.000000	 film
10.000000	 0.100000	 0.001000	 film
10.000000	 0.100000	 0.010000	 film
10.000000	 0.100000	 0.100000	 film
10.000000	 0.100000	 1.000000	 film
10.000000	 0.100000	 10.000000	 film
10.000000	 0.100000	 100.000000	 film
10.000000	 0.100000	 1000.000000	 film
10.000000	 1.000000	 0.001000	 tail
10.000000	 1.000000	 0.010000	 tail
10.000000	 1.000000	 0.100000	 tail
10.000000	 1.000000	 1.000000	 tail
10.000000	 1.000000	 10.000000	 film
10.000000	 1.000000	 100.000000	 film
10.000000	 1.000000	 1000.000000	 film
10.000000	 10.000000	 0.001000	 tail
10.000000	 10.000000	 0.010000	 tail
10.000000	 10.000000	 0.100000	 tail
10.000000	 10.000000	 1.000000	 tail
10.000000	 10.000000	 10.000000	 film
10.000000	 10.000000	 100.000000	 film
10.000000	 10.000000	 1000.000000	 film
10.000000	 100.000000	 0.001000	 tail
10.000000	 100.000000	 0.010000	 tail
10.000000	 100.000000	 0.100000	 tail
10.000000	 100.000000	 1.000000	 tail
10.000000	 100.000000	 10.000000	 film
10.000000	 100.000000	 100.000000	 film
10.000000	 100.000000	 1000.000000	 film
10.000000	 1000.000000	 0.001000	 tail
10.000000	 1000.000000	 0.010000	 tail
10.000000	 1000.000000	 0.100000	 tail
10.000000	 1000.000000	 1.000000	 tail
10.000000	 1000.000000	 10.000000	 film
10.000000	 1000.000000	 100.000000	 film
10.000000	 1000.000000	 1000.000000	 film
